Grand Prix,Driver,Car,Time,DriverCode,Year
Canada,Jacques Villeneuve,Williams Renault,1:21.916,VIL,1996
France,Jacques Villeneuve,Williams Renault,1:18.610,VIL,1996
Great Britain,Jacques Villeneuve,Williams Renault,1:29.288,VIL,1996
Germany,Damon Hill,Williams Renault,1:46.504,HIL,1996
Hungary,Damon Hill,Williams Renault,1:20.093,HIL,1996
Belgium,Gerhard Berger,Benetton Renault,1:53.067,BER,1996
Italy,Michael Schumacher,Ferrari,1:26.110,MSC,1996
Portugal,Jacques Villeneuve,Williams Renault,1:22.873,VIL,1996
Japan,Jacques Villeneuve,Williams Renault,1:44.043,VIL,1996
Australia,Heinz-Harald Frentzen,Williams Renault,1:30.585,FRE,1997
Brazil,Jacques Villeneuve,Williams Renault,1:18.397,VIL,1997
Argentina,Gerhard Berger,Benetton Renault,1:27.981,BER,1997
San Marino,Heinz-Harald Frentzen,Williams Renault,1:25.531,FRE,1997
Monaco,Michael Schumacher,Ferrari,1:53.315,MSC,1997
Spain,Giancarlo Fisichella,Jordan Peugeot,1:22.242,FIS,1997
Canada,David Coulthard,McLaren Mercedes,1:19.635,COU,1997
France,Michael Schumacher,Ferrari,1:17.910,MSC,1997
Great Britain,Michael Schumacher,Ferrari,1:24.475,MSC,1997
Germany,Gerhard Berger,Benetton Renault,1:45.747,BER,1997
Hungary,Heinz-Harald Frentzen,Williams Renault,1:18.372,FRE,1997
Belgium,Jacques Villeneuve,Williams Renault,1:52.692,VIL,1997
Italy,Mika Hakkinen,McLaren Mercedes,1:24.808,HAK,1997
Austria,Jacques Villeneuve,Williams Renault,1:11.814,VIL,1997
Luxembourg,Heinz-Harald Frentzen,Williams Renault,1:18.805,FRE,1997
Japan,Heinz-Harald Frentzen,Williams Renault,1:38.942,FRE,1997
Europe,Heinz-Harald Frentzen,Williams Renault,1:23.135,FRE,1997
Australia,Mika Hakkinen,McLaren Mercedes,1:31.649,HAK,1998
Brazil,Mika Hakkinen,McLaren Mercedes,1:19.337,HAK,1998
Argentina,Alexander Wurz,Benetton Playlife,1:28.179,WUR,1998
San Marino,Michael Schumacher,Ferrari,1:29.345,MSC,1998
Spain,Mika Hakkinen,McLaren Mercedes,1:24.275,HAK,1998
Monaco,Mika Hakkinen,McLaren Mercedes,1:22.948,HAK,1998
Canada,Michael Schumacher,Ferrari,1:19.379,MSC,1998
France,David Coulthard,McLaren Mercedes,1:17.523,COU,1998
Great Britain,Michael Schumacher,Ferrari,1:35.704,MSC,1998
Austria,David Coulthard,McLaren Mercedes,1:12.878,COU,1998
Germany,David Coulthard,McLaren Mercedes,1:46.116,COU,1998
Hungary,Michael Schumacher,Ferrari,1:19.286,MSC,1998
Belgium,Michael Schumacher,Ferrari,2:03.766,MSC,1998
Italy,Mika Hakkinen,McLaren Mercedes,1:25.139,HAK,1998
Luxembourg,Mika Hakkinen,McLaren Mercedes,1:20.450,HAK,1998
Japan,Michael Schumacher,Ferrari,1:40.190,MSC,1998
Australia,Michael Schumacher,Ferrari,1:32.112,MSC,1999
Brazil,Mika Hakkinen,McLaren Mercedes,1:18.448,HAK,1999
San Marino,Michael Schumacher,Ferrari,1:28.547,MSC,1999
Monaco,Mika Hakkinen,McLaren Mercedes,1:22.259,HAK,1999
Spain,Michael Schumacher,Ferrari,1:24.982,MSC,1999
Canada,Eddie Irvine,Ferrari,1:20.382,IRV,1999
France,David Coulthard,McLaren Mercedes,1:19.227,COU,1999
Great Britain,Mika Hakkinen,McLaren Mercedes,1:28.309,HAK,1999
Austria,Mika Hakkinen,McLaren Mercedes,1:12.107,HAK,1999
Germany,David Coulthard,McLaren Mercedes,1:45.270,COU,1999
Hungary,David Coulthard,McLaren Mercedes,1:20.699,COU,1999
Belgium,Mika Hakkinen,McLaren Mercedes,1:53.955,HAK,1999
Italy,Ralf Schumacher,Williams Supertec,1:25.579,RSC,1999
Europe,Mika Hakkinen,McLaren Mercedes,1:21.282,HAK,1999
Malaysia,Heinz-Harald Frentzen,Jordan Mugen Honda,1:40.631,FRE,1999
Japan,Michael Schumacher,Ferrari,1:41.319,MSC,1999
Australia,Rubens Barrichello,Ferrari,1:31.481,BAR,2000
Brazil,Michael Schumacher,Ferrari,1:14.755,MSC,2000
San Marino,Mika Hakkinen,McLaren Mercedes,1:26.523,HAK,2000
Great Britain,Mika Hakkinen,McLaren Mercedes,1:26.217,HAK,2000
Spain,Mika Hakkinen,McLaren Mercedes,1:24.470,HAK,2000
Europe,Michael Schumacher,Ferrari,1:22.269,MSC,2000
Monaco,Mika Hakkinen,McLaren Mercedes,1:21.571,HAK,2000
Canada,Mika Hakkinen,McLaren Mercedes,1:19.049,HAK,2000
France,David Coulthard,McLaren Mercedes,1:19.479,COU,2000
Austria,David Coulthard,McLaren Mercedes,1:11.783,COU,2000
Germany,Rubens Barrichello,Ferrari,1:44.300,BAR,2000
Hungary,Mika Hakkinen,McLaren Mercedes,1:20.028,HAK,2000
Belgium,Rubens Barrichello,Ferrari,1:53.803,BAR,2000
Italy,Mika Hakkinen,McLaren Mercedes,1:25.595,HAK,2000
United States,David Coulthard,McLaren Mercedes,1:14.711,COU,2000
Japan,Mika Hakkinen,McLaren Mercedes,1:39.189,HAK,2000
Malaysia,Mika Hakkinen,McLaren Mercedes,1:38.543,HAK,2000
Australia,Michael Schumacher,Ferrari,1:28.214,MSC,2001
Malaysia,Mika Hakkinen,McLaren Mercedes,1:40.962,HAK,2001
Brazil,Ralf Schumacher,Williams BMW,1:15.693,RSC,2001
San Marino,Ralf Schumacher,Williams BMW,1:25.524,RSC,2001
Spain,Michael Schumacher,Ferrari,1:21.151,MSC,2001
Austria,David Coulthard,McLaren Mercedes,1:10.843,COU,2001
Monaco,David Coulthard,McLaren Mercedes,1:19.424,COU,2001
Canada,Ralf Schumacher,Williams BMW,1:17.205,RSC,2001
Europe,Juan Pablo Montoya,Williams BMW,1:18.354,MOY,2001
France,David Coulthard,McLaren Mercedes,1:16.088,COU,2001
Great Britain,Mika Hakkinen,McLaren Mercedes,1:23.405,HAK,2001
Germany,Juan Pablo Montoya,Williams BMW,1:41.808,MOY,2001
Hungary,Mika Hakkinen,McLaren Mercedes,1:16.723,HAK,2001
Belgium,Michael Schumacher,Ferrari,1:49.758,MSC,2001
Italy,Ralf Schumacher,Williams BMW,1:25.073,RSC,2001
United States,Juan Pablo Montoya,Williams BMW,1:14.448,MOY,2001
Japan,Ralf Schumacher,Williams BMW,1:36.944,RSC,2001
Australia,Kimi Räikkönen,McLaren Mercedes,1:28.541,RAI,2002
Malaysia,Juan Pablo Montoya,Williams BMW,1:38.049,MOY,2002
Brazil,Juan Pablo Montoya,Williams BMW,1:16.079,MOY,2002
San Marino,Rubens Barrichello,Ferrari,1:24.170,BAR,2002
Spain,Michael Schumacher,Ferrari,1:20.355,MSC,2002
Austria,Michael Schumacher,Ferrari,1:09.298,MSC,2002
Monaco,Rubens Barrichello,Ferrari,1:18.023,BAR,2002
Canada,Juan Pablo Montoya,Williams BMW,1:15.960,MOY,2002
Europe,Michael Schumacher,Ferrari,1:32.226,MSC,2002
Great Britain,Rubens Barrichello,Ferrari,1:23.083,BAR,2002
France,David Coulthard,McLaren Mercedes,1:15.045,COU,2002
Germany,Michael Schumacher,Ferrari,1:16.462,MSC,2002
Hungary,Michael Schumacher,Ferrari,1:16.207,MSC,2002
Belgium,Michael Schumacher,Ferrari,1:47.176,MSC,2002
Italy,Rubens Barrichello,Ferrari,1:23.657,BAR,2002
United States,Rubens Barrichello,Ferrari,1:12.738,BAR,2002
Japan,Michael Schumacher,Ferrari,1:36.125,MSC,2002
Australia,Kimi Räikkönen,McLaren Mercedes,1:27.724,RAI,2003
Malaysia,Michael Schumacher,Ferrari,1:36.412,MSC,2003
Brazil,Rubens Barrichello,Ferrari,1:22.032,BAR,2003
San Marino,Michael Schumacher,Ferrari,1:22.491,MSC,2003
Spain,Rubens Barrichello,Ferrari,1:20.143,BAR,2003
Austria,Michael Schumacher,Ferrari,1:08.337,MSC,2003
Monaco,Kimi Räikkönen,McLaren Mercedes,1:14.545,RAI,2003
Canada,Fernando Alonso,Renault,1:16.040,ALO,2003
Europe,Kimi Räikkönen,McLaren Mercedes,1:32.621,RAI,2003
France,Juan Pablo Montoya,Williams BMW,1:15.512,MOY,2003
Great Britain,Rubens Barrichello,Ferrari,1:22.236,BAR,2003
Germany,Juan Pablo Montoya,Williams BMW,1:14.917,MOY,2003
Hungary,Juan Pablo Montoya,Williams BMW,1:22.095,MOY,2003
Italy,Michael Schumacher,Ferrari,1:21.832,MSC,2003
United States,Michael Schumacher,Ferrari,1:11.473,MSC,2003
Japan,Ralf Schumacher,Williams BMW,1:33.408,RSC,2003
Australia,Michael Schumacher,Ferrari,1:24.125,MSC,2004
Malaysia,Juan Pablo Montoya,Williams BMW,1:34.223,MOY,2004
Bahrain,Michael Schumacher,Ferrari,1:30.252,MSC,2004
San Marino,Michael Schumacher,Ferrari,1:20.411,MSC,2004
Spain,Michael Schumacher,Ferrari,1:17.450,MSC,2004
Monaco,Michael Schumacher,Ferrari,1:14.439,MSC,2004
Europe,Michael Schumacher,Ferrari,1:29.468,MSC,2004
Canada,Rubens Barrichello,Ferrari,1:13.622,BAR,2004
United States,Rubens Barrichello,Ferrari,1:10.399,BAR,2004
France,Michael Schumacher,Ferrari,1:15.377,MSC,2004
Great Britain,Michael Schumacher,Ferrari,1:18.739,MSC,2004
Germany,Kimi Räikkönen,McLaren Mercedes,1:13.780,RAI,2004
Hungary,Michael Schumacher,Ferrari,1:19.071,MSC,2004
Belgium,Kimi Räikkönen,McLaren Mercedes,1:45.108,RAI,2004
Italy,Rubens Barrichello,Ferrari,1:21.046,BAR,2004
China,Michael Schumacher,Ferrari,1:32.238,MSC,2004
Japan,Rubens Barrichello,Ferrari,1:32.730,BAR,2004
Brazil,Juan Pablo Montoya,Williams BMW,1:11.473,MOY,2004
Australia,Fernando Alonso,Renault,1:25.683,ALO,2005
Malaysia,Kimi Räikkönen,McLaren Mercedes,1:35.483,RAI,2005
Bahrain,Pedro de la Rosa,McLaren Mercedes,1:31.447,DLR,2005
San Marino,Michael Schumacher,Ferrari,1:21.858,MSC,2005
Spain,Giancarlo Fisichella,Renault,1:15.641,FIS,2005
Monaco,Michael Schumacher,Ferrari,1:15.842,MSC,2005
Europe,Fernando Alonso,Renault,1:30.711,ALO,2005
Canada,Kimi Räikkönen,McLaren Mercedes,1:14.384,RAI,2005
United States,Michael Schumacher,Ferrari,1:11.497,MSC,2005
France,Kimi Räikkönen,McLaren Mercedes,1:16.423,RAI,2005
Great Britain,Kimi Räikkönen,McLaren Mercedes,1:20.502,RAI,2005
Germany,Kimi Räikkönen,McLaren Mercedes,1:14.873,RAI,2005
Hungary,Kimi Räikkönen,McLaren Mercedes,1:21.219,RAI,2005
Turkey,Juan Pablo Montoya,McLaren Mercedes,1:24.770,MOY,2005
Italy,Kimi Räikkönen,McLaren Mercedes,1:21.504,RAI,2005
Belgium,Ralf Schumacher,Toyota,1:51.453,RSC,2005
Brazil,Kimi Räikkönen,McLaren Mercedes,1:12.268,RAI,2005
Japan,Kimi Räikkönen,McLaren Mercedes,1:31.540,RAI,2005
China,Kimi Räikkönen,McLaren Mercedes,1:33.242,RAI,2005
Bahrain,Nico Rosberg,Williams Cosworth,1:32.408,ROS,2006
Malaysia,Fernando Alonso,Renault,1:34.803,ALO,2006
Australia,Kimi Räikkönen,McLaren Mercedes,1:26.045,RAI,2006
San Marino,Fernando Alonso,Renault,1:24.569,ALO,2006
Europe,Michael Schumacher,Ferrari,1:32.099,MSC,2006
Spain,Felipe Massa,Ferrari,1:16.648,MAS,2006
Monaco,Michael Schumacher,Ferrari,1:15.143,MSC,2006
Great Britain,Fernando Alonso,Renault,1:21.599,ALO,2006
Canada,Kimi Räikkönen,McLaren Mercedes,1:15.841,RAI,2006
United States,Michael Schumacher,Ferrari,1:12.719,MSC,2006
France,Michael Schumacher,Ferrari,1:17.111,MSC,2006
Germany,Michael Schumacher,Ferrari,1:16.357,MSC,2006
Hungary,Felipe Massa,Ferrari,1:23.516,MAS,2006
Turkey,Michael Schumacher,Ferrari,1:28.005,MSC,2006
Italy,Kimi Räikkönen,McLaren Mercedes,1:22.559,RAI,2006
China,Fernando Alonso,Renault,1:37.586,ALO,2006
Japan,Fernando Alonso,Renault,1:32.676,ALO,2006
Brazil,Michael Schumacher,Ferrari,1:12.162,MSC,2006
Australia,Kimi Räikkönen,Ferrari,1:25.235,RAI,2007
Malaysia,Lewis Hamilton,McLaren Mercedes,1:36.701,HAM,2007
Bahrain,Felipe Massa,Ferrari,1:34.067,MAS,2007
Spain,Felipe Massa,Ferrari,1:22.680,MAS,2007
Monaco,Fernando Alonso,McLaren Mercedes,1:15.284,ALO,2007
Canada,Fernando Alonso,McLaren Mercedes,1:16.367,ALO,2007
United States,Kimi Räikkönen,Ferrari,1:13.117,RAI,2007
France,Felipe Massa,Ferrari,1:16.099,MAS,2007
Great Britain,Kimi Räikkönen,Ferrari,1:20.638,RAI,2007
Europe,Felipe Massa,Ferrari,1:32.853,MAS,2007
Hungary,Kimi Räikkönen,Ferrari,1:20.047,RAI,2007
Turkey,Kimi Räikkönen,Ferrari,1:27.295,RAI,2007
Italy,Fernando Alonso,McLaren Mercedes,1:22.871,ALO,2007
Belgium,Felipe Massa,Ferrari,1:48.036,MAS,2007
Japan,Lewis Hamilton,McLaren Mercedes,1:28.193,HAM,2007
China,Felipe Massa,Ferrari,1:37.454,MAS,2007
Brazil,Kimi Räikkönen,Ferrari,1:12.445,RAI,2007
Australia,Heikki Kovalainen,McLaren Mercedes,1:27.418,KOV,2008
Malaysia,Nick Heidfeld,Sauber BMW,1:35.366,HEI,2008
Bahrain,Heikki Kovalainen,McLaren Mercedes,1:33.193,KOV,2008
Spain,Kimi Räikkönen,Ferrari,1:21.670,RAI,2008
Turkey,Kimi Räikkönen,Ferrari,1:26.506,RAI,2008
Monaco,Kimi Räikkönen,Ferrari,1:16.689,RAI,2008
Canada,Kimi Räikkönen,Ferrari,1:17.387,RAI,2008
France,Kimi Räikkönen,Ferrari,1:16.630,RAI,2008
Great Britain,Kimi Räikkönen,Ferrari,1:32.150,RAI,2008
Germany,Nick Heidfeld,Sauber BMW,1:15.987,HEI,2008
Hungary,Kimi Räikkönen,Ferrari,1:21.195,RAI,2008
Europe,Felipe Massa,Ferrari,1:38.708,MAS,2008
Belgium,Kimi Räikkönen,Ferrari,1:47.930,RAI,2008
Italy,Kimi Räikkönen,Ferrari,1:28.047,RAI,2008
Singapore,Kimi Räikkönen,Ferrari,1:45.599,RAI,2008
Japan,Felipe Massa,Ferrari,1:18.426,MAS,2008
China,Lewis Hamilton,McLaren Mercedes,1:36.325,HAM,2008
Brazil,Felipe Massa,Ferrari,1:13.736,MAS,2008
Australia,Nico Rosberg,Williams Toyota,1:27.706,ROS,2009
Malaysia,Jenson Button,Brawn Mercedes,1:36.641,BUT,2009
China,Rubens Barrichello,Brawn Mercedes,1:52.592,BAR,2009
Bahrain,Jarno Trulli,Toyota,1:34.556,TRU,2009
Spain,Rubens Barrichello,Brawn Mercedes,1:22.762,BAR,2009
Monaco,Felipe Massa,Ferrari,1:15.154,MAS,2009
Turkey,Jenson Button,Brawn Mercedes,1:27.579,BUT,2009
Great Britain,Sebastian Vettel,RBR Renault,1:20.735,VET,2009
Germany,Fernando Alonso,Renault,1:33.365,ALO,2009
Hungary,Mark Webber,RBR Renault,1:21.931,WEB,2009
Europe,Timo Glock,Toyota,1:38.683,GLO,2009
Belgium,Sebastian Vettel,RBR Renault,1:47.263,VET,2009
Italy,Adrian Sutil,Force India Mercedes,1:24.739,SUT,2009
Singapore,Fernando Alonso,Renault,1:48.240,ALO,2009
Japan,Mark Webber,RBR Renault,1:32.569,WEB,2009
Brazil,Mark Webber,RBR Renault,1:13.733,WEB,2009
Abu Dhabi,Sebastian Vettel,RBR Renault,1:40.279,VET,2009
Bahrain,Fernando Alonso,Ferrari,1:58.287,ALO,2010
Australia,Mark Webber,RBR Renault,1:28.358,WEB,2010
Malaysia,Mark Webber,RBR Renault,1:37.054,WEB,2010
China,Lewis Hamilton,McLaren Mercedes,1:42.061,HAM,2010
Spain,Lewis Hamilton,McLaren Mercedes,1:24.357,HAM,2010
Monaco,Sebastian Vettel,RBR Renault,1:15.192,VET,2010
Turkey,Vitaly Petrov,Renault,1:29.165,PET,2010
Canada,Robert Kubica,Renault,1:16.972,KUB,2010
Europe,Jenson Button,McLaren Mercedes,1:38.766,BUT,2010
Great Britain,Fernando Alonso,Ferrari,1:30.874,ALO,2010
Germany,Sebastian Vettel,RBR Renault,1:15.824,VET,2010
Hungary,Sebastian Vettel,RBR Renault,1:22.362,VET,2010
Belgium,Lewis Hamilton,McLaren Mercedes,1:49.069,HAM,2010
