Grand Prix,Driver,Car,Time,DriverCode,Year
Mexico,Valtteri Bottas,Mercedes,1:17.774,BOT,2021
Brazil,Sergio Perez,Red Bull Racing Honda,1:11.010,PER,2021
Qatar,Max Verstappen,Red Bull Racing Honda,1:23.196,VER,2021
Saudi Arabia,Lewis Hamilton,Mercedes,1:30.734,HAM,2021
Abu Dhabi,Max Verstappen,Red Bull Racing Honda,1:26.103,VER,2021
Bahrain,Charles Leclerc,Ferrari,1:34.570,LEC,2022
Saudi Arabia,Charles Leclerc,Ferrari,1:31.634,LEC,2022
Australia,Charles Leclerc,Ferrari,1:20.260,LEC,2022
Emilia Romagna,Max Verstappen,Red Bull Racing RBPT,1:18.446,VER,2022
Miami,Max Verstappen,Red Bull Racing RBPT,1:31.361,VER,2022
Spain,Sergio Perez,Red Bull Racing RBPT,1:24.108,PER,2022
Monaco,Lando Norris,McLaren Mercedes,1:14.693,NOR,2022
Azerbaijan,Sergio Perez,Red Bull Racing RBPT,1:46.046,PER,2022
Canada,Carlos Sainz,Ferrari,1:15.749,SAI,2022
Great Britain,Lewis Hamilton,Mercedes,1:30.510,HAM,2022
Austria,Max Verstappen,Red Bull Racing RBPT,1:07.275,VER,2022
France,Carlos Sainz,Ferrari,1:35.781,SAI,2022
Hungary,Lewis Hamilton,Mercedes,1:21.386,HAM,2022
Belgium,Max Verstappen,Red Bull Racing RBPT,1:49.354,VER,2022
Netherlands,Max Verstappen,Red Bull Racing RBPT,1:13.652,VER,2022
Italy,Sergio Perez,Red Bull Racing RBPT,1:24.030,PER,2022
Singapore,George Russell,Mercedes,1:46.458,RUS,2022
Japan,Zhou Guanyu,Alfa Romeo Ferrari,1:44.411,ZHO,2022
United States,George Russell,Mercedes,1:38.788,RUS,2022
Mexico,George Russell,Mercedes,1:20.153,RUS,2022
Brazil,George Russell,Mercedes,1:13.785,RUS,2022
Abu Dhabi,Lando Norris,McLaren Mercedes,1:28.391,NOR,2022
